clientTime	Local Time (hrs)	Boat Speed (kn) [H5000 Analog Expansion : 009780#]	Boat Speed (kn) [DST200 : 2006922]	Boat Speed (kn) [ST900 : BETA 6]	Boat Speed (kn) [DST200 : 3441103]	Boat Speed (kn) [H5000 Boat Speed : 009169#]
170207-114745.49		0.00	0.93	0.00	0.51	0.44	
170207-114745.69		0.00	0.93	0.00	0.51	0.44	
170207-114745.89		0.00	0.93	0.00	0.51	0.44	
170207-114746.09		0.00	0.93	0.00	0.51	0.44	
170207-114746.29		0.00	0.93	0.00	0.68	0.44	
170207-114746.49		0.00	0.93	0.00	0.68	0.43	
170207-114746.69		0.00	0.93	0.00	0.68	0.43	
170207-114746.89		0.00	0.93	0.00	0.68	0.43	
170207-114747.09		0.00	0.93	0.00	0.68	0.43	
170207-114747.29		0.00	0.99	0.00	0.72	0.43	
170207-114747.49		0.00	0.99	0.00	0.72	0.43	
170207-114747.69		0.00	0.99	0.00	0.72	0.43	
170207-114747.89		0.00	0.99	0.00	0.72	0.43	
170207-114748.11		0.00	0.99	0.00	0.72	0.43	
170207-114748.29		0.00	0.99	0.00	0.72	0.43	
170207-114748.49		0.00	0.99	0.00	0.72	0.43	
170207-114748.69		0.00	0.99	0.00	0.72	0.43	
170207-114748.89		0.00	0.99	0.00	0.72	0.43	
170207-114749.09		0.00	0.99	0.00	0.72	0.43	
170207-114749.29		0.00	0.99	0.00	0.54	0.41	
170207-114749.49		0.00	0.99	0.00	0.54	0.41	
170207-114749.69		0.00	0.99	0.00	0.54	0.41	
170207-114749.89		0.00	0.99	0.00	0.54	0.40	
170207-114750.09		0.00	0.99	0.00	0.54	0.40	
170207-114750.29		0.00	0.99	0.00	0.54	0.40	
170207-114750.49		0.00	0.99	0.00	0.54	0.41	
170207-114750.69		0.00	0.99	0.00	0.54	0.41	
170207-114750.89		0.00	0.99	0.00	0.54	0.41	
170207-114751.09		0.00	0.99	0.00	0.54	0.41	
170207-114751.29		0.00	0.99	0.00	0.51	0.41	
170207-114751.49		0.00	0.99	0.00	0.51	0.41	
170207-114751.69		0.00	0.99	0.00	0.51	0.43	
170207-114751.89		0.00	0.99	0.00	0.51	0.43	
170207-114752.09		0.00	0.99	0.00	0.51	0.43	
170207-114752.29		0.00	0.99	0.00	0.47	0.43	
170207-114752.49		0.00	0.99	0.00	0.47	0.43	
170207-114752.70		0.00	0.99	0.00	0.47	0.43	
170207-114752.90		0.00	0.99	0.00	0.47	0.43	
170207-114753.10		0.00	0.99	0.00	0.47	0.43	
170207-114753.29		0.00	0.99	0.00	0.64	0.43	
170207-114753.50		0.00	0.99	0.00	0.64	0.43	
170207-114753.70		0.00	0.99	0.00	0.64	0.43	
170207-114753.90		0.00	0.99	0.00	0.64	0.43	
170207-114754.11		0.00	0.99	0.00	0.64	0.43	
170207-114754.29		0.00	0.99	0.00	0.58	0.44	
170207-114754.50		0.00	0.99	0.00	0.58	0.44	
170207-114754.70		0.00	0.99	0.00	0.58	0.44	
170207-114754.89		0.00	0.99	0.00	0.58	0.45	
170207-114755.10		0.00	0.99	0.00	0.58	0.45	
170207-114755.29		0.00	0.99	0.00	0.47	0.45	
170207-114755.50		0.00	0.99	0.00	0.47	0.45	
170207-114755.70		0.00	0.99	0.00	0.47	0.45	
170207-114755.89		0.00	0.99	0.00	0.47	0.45	
170207-114756.09		0.00	0.99	0.00	0.47	0.45	
170207-114756.29		0.00	0.99	0.00	0.41	0.45	
170207-114756.50		0.00	0.99	0.00	0.41	0.45	
170207-114756.70		0.00	0.99	0.00	0.41	0.45	
170207-114756.89		0.00	0.99	0.00	0.41	0.44	
170207-114757.11		0.00	0.99	0.00	0.41	0.44	
170207-114757.29		0.00	0.99	0.00	0.41	0.44	
170207-114757.50		0.00	0.99	0.00	0.41	0.44	
170207-114757.70		0.00	0.99	0.00	0.41	0.44	
170207-114757.89		0.00	0.99	0.00	0.41	0.45	
170207-114758.12		0.00	0.99	0.00	0.41	0.45	
170207-114758.30		0.00	0.99	0.00	0.29	0.45	
170207-114758.50		0.00	0.99	0.00	0.29	0.45	
170207-114758.70		0.00	0.99	0.00	0.29	0.45	
170207-114758.94		0.00	0.99	0.00	0.29	0.45	
170207-114759.11		0.00	0.99	0.00	0.29	0.45	
170207-114759.29		0.00	0.97	0.00	0.29	0.44	
170207-114759.50		0.00	0.97	0.00	0.29	0.44	
170207-114759.70		0.00	0.97	0.00	0.29	0.44	
170207-114759.90		0.00	0.97	0.00	0.29	0.44	
170207-114800.11		0.00	0.97	0.00	0.29	0.44	
170207-114800.29		0.00	0.99	0.00	0.29	0.44	
170207-114800.50		0.00	0.99	0.00	0.29	0.45	
170207-114800.70		0.00	0.99	0.00	0.29	0.45	
170207-114800.90		0.00	0.99	0.00	0.29	0.45	
170207-114801.14		0.00	0.99	0.00	0.29	0.44	
170207-114801.29		0.00	0.99	0.00	0.29	0.44	
170207-114801.50		0.00	0.99	0.00	0.29	0.44	
170207-114801.70		0.00	0.99	0.00	0.29	0.45	
170207-114801.90		0.00	0.99	0.00	0.29	0.45	
170207-114802.09		0.00	0.99	0.00	0.29	0.45	
170207-114802.29		0.00	0.99	0.00	0.47	0.45	
170207-114802.50		0.00	0.99	0.00	0.47	0.45	
170207-114802.70		0.00	0.99	0.00	0.47	0.45	
170207-114802.89		0.00	0.99	0.00	0.47	0.45	
170207-114803.10		0.00	0.99	0.00	0.47	0.43	
170207-114803.29		0.00	0.99	0.00	0.47	0.43	
170207-114803.50		0.00	0.99	0.00	0.47	0.43	
170207-114803.70		0.00	0.99	0.00	0.47	0.43	
170207-114803.89		0.00	0.99	0.00	0.47	0.43	
170207-114804.09		0.00	0.99	0.00	0.47	0.43	
170207-114804.29		0.00	0.97	0.00	0.35	0.43	
170207-114804.49		0.00	0.97	0.00	0.35	0.43	
170207-114804.70		0.00	0.97	0.00	0.35	0.43	
170207-114804.89		0.00	0.97	0.00	0.35	0.43	
170207-114805.09		0.00	0.97	0.00	0.35	0.42	
170207-114805.29		0.00	0.97	0.00	0.17	0.42	
170207-114805.49		0.00	0.97	0.00	0.17	0.42	
170207-114805.70		0.00	0.97	0.00	0.17	0.41	
170207-114805.89		0.00	0.97	0.00	0.17	0.41	
170207-114806.09		0.00	0.97	0.00	0.17	0.41	
170207-114806.29		0.00	0.97	0.00	0.00	0.41	
170207-114806.49		0.00	0.97	0.00	0.00	0.41	
170207-114806.70		0.00	0.97	0.00	0.00	0.40	
170207-114806.89		0.00	0.97	0.00	0.00	0.40	
170207-114807.09		0.00	0.97	0.00	0.00	0.40	
170207-114807.29		0.00	0.93	0.00	0.00	0.40	
170207-114807.49		0.00	0.93	0.00	0.00	0.38	
170207-114807.70		0.00	0.93	0.00	0.00	0.38	
170207-114807.90		0.00	0.93	0.00	0.00	0.38	
170207-114808.09		0.00	0.93	0.00	0.00	0.38	
170207-114808.29		0.00	0.93	0.00	0.19	0.38	
170207-114808.50		0.00	0.93	0.00	0.19	0.38	
170207-114808.70		0.00	0.93	0.00	0.19	0.39	
170207-114808.89		0.00	0.93	0.00	0.19	0.39	
170207-114809.09		0.00	0.93	0.00	0.19	0.39	
170207-114809.29		0.00	0.97	0.00	0.33	0.40	
170207-114809.49		0.00	0.97	0.00	0.33	0.40	
170207-114809.70		0.00	0.97	0.00	0.33	0.40	
170207-114809.89		0.00	0.97	0.00	0.33	0.41	
170207-114810.09		0.00	0.97	0.00	0.33	0.41	
170207-114810.29		0.00	1.03	0.00	0.52	0.41	
170207-114810.49		0.00	1.03	0.00	0.52	0.42	
170207-114810.70		0.00	1.03	0.00	0.52	0.42	
170207-114810.89		0.00	1.03	0.00	0.52	0.43	
170207-114811.10		0.00	1.03	0.00	0.52	0.43	
170207-114811.29		0.00	1.07	0.00	0.52	0.43	
170207-114811.50		0.00	1.07	0.00	0.52	0.43	
170207-114811.70		0.00	1.07	0.00	0.52	0.45	
170207-114811.89		0.00	1.07	0.00	0.52	0.45	
170207-114812.09		0.00	1.07	0.00	0.52	0.47	
170207-114812.29		0.00	1.07	0.00	0.45	0.47	
170207-114812.50		0.00	1.07	0.00	0.45	0.47	
170207-114812.69		0.00	1.07	0.00	0.45	0.48	
170207-114812.89		0.00	1.07	0.00	0.45	0.48	
170207-114813.08		0.00	1.07	0.00	0.45	0.48	
170207-114813.29		0.00	1.03	0.00	0.51	0.48	
170207-114813.48		0.00	1.03	0.00	0.51	0.48	
170207-114813.69		0.00	1.03	0.00	0.51	0.48	
170207-114813.88		0.00	1.03	0.00	0.51	0.48	
170207-114814.09		0.00	1.03	0.00	0.51	0.48	
170207-114814.28		0.00	0.76	0.00	0.29	0.48	
170207-114814.49		0.00	0.76	0.00	0.29	0.48	
170207-114814.69		0.00	0.76	0.00	0.29	0.00	
170207-114814.89		0.00	0.76	0.00	0.29	0.00	
170207-114815.09		0.00	0.76	0.00	0.29	0.00	
170207-114815.29		0.00	0.49	0.00	0.29	0.00	
170207-114815.49		0.00	0.49	0.00	0.29	0.00	
170207-114815.69		0.00	0.49	0.00	0.29	0.00	
170207-114815.88		0.00	0.49	0.00	0.29	0.00	
170207-114816.08		0.00	0.49	0.00	0.29	0.00	
170207-114816.28		0.00	0.23	0.00	0.17	0.00	
170207-114816.49		0.00	0.23	0.00	0.17	0.00	
170207-114816.69		0.00	0.23	0.00	0.17	0.00	
170207-114816.88		0.00	0.23	0.00	0.17	0.00	
170207-114817.08		0.00	0.23	0.00	0.17	0.00	
170207-114817.29		0.00	0.00	0.00	0.00	0.00	
170207-114817.48		0.00	0.00	0.00	0.00	0.00	
170207-114817.69		0.00	0.00	0.00	0.00	0.00	
170207-114817.89		0.00	0.00	0.00	0.00	0.00	
170207-114818.09		0.00	0.00	0.00	0.00	0.00	
170207-114818.28		0.00	0.00	0.00	0.00	0.00	
170207-114818.48		0.00	0.00	0.00	0.00	0.00	
170207-114818.69		0.00	0.00	0.00	0.00	0.00	
170207-114818.88		0.00	0.00	0.00	0.00	0.00	
170207-114819.08		0.00	0.00	0.00	0.00	0.00	
170207-114819.28		0.00	0.00	0.00	0.00	0.00	
170207-114819.48		0.00	0.00	0.00	0.00	0.00	
170207-114819.69		0.00	0.00	0.00	0.00	0.00	
170207-114819.89		0.00	0.00	0.00	0.00	0.00	
170207-114820.09		0.00	0.00	0.00	0.00	0.00	
