statusId | label
1|test
statusId|sensorName|value|timestamp
1|K6DS3TR Gyroscope Sensor|[-0.058643065,0.008552114,-0.087964594]|1477918466965
1|Gravity Sensor|[-0.6191043,4.274414,8.804342]|1477918466965
1|Linear Acceleration Sensor|[-0.32423997,-0.007816315,-0.73563576]|1477918466966
1|YAS537 Magnetic Sensor|[8.8,-33.4,-27.300001]|1477918466966
1|K6DS3TR Acceleration Sensor|[-0.9433443,4.2665977,8.0687065]|1477918466966
1|K6DS3TR Acceleration Sensor|[-0.98404694,4.2665977,8.023215]|1477918466971
1|K6DS3TR Gyroscope Sensor|[-0.0842994,0.0036651916,-0.09162979]|1477918466971
1|K6DS3TR Gyroscope Sensor|[-0.10873401,0.004886922,-0.087964594]|1477918466975
1|Gravity Sensor|[-0.6537874,4.287839,8.795303]|1477918466975
1|Linear Acceleration Sensor|[-0.3374424,3.0708313E-4,-0.7313862]|1477918466975
1|YAS537 Magnetic Sensor|[8.900001,-33.3,-27.4]|1477918466976
1|K6DS3TR Acceleration Sensor|[-0.9912298,4.288146,8.063917]|1477918466976
1|K6DS3TR Acceleration Sensor|[-0.9984126,4.312089,8.135746]|1477918466981
1|K6DS3TR Gyroscope Sensor|[-0.13683382,-0.002443461,-0.087964594]|1477918466981
1|K6DS3TR Gyroscope Sensor|[-0.1600467,-0.008552114,-0.080634214]|1477918466986
1|Gravity Sensor|[-0.69143087,4.3031955,8.78492]|1477918466986
1|Linear Acceleration Sensor|[-0.30937606,0.0017104149,-0.52945995]|1477918466985
1|YAS537 Magnetic Sensor|[8.900001,-33.3,-27.4]|1477918466985
1|K6DS3TR Acceleration Sensor|[-1.0008069,4.304906,8.25546]|1477918466986
1|K6DS3TR Acceleration Sensor|[-0.96489275,4.2737803,8.336864]|1477918466991
1|K6DS3TR Gyroscope Sensor|[-0.17470746,-0.019547688,-0.081855945]|1477918466991
1|K6DS3TR Gyroscope Sensor|[-0.17959438,-0.036651913,-0.08307768]|1477918466996
1|Gravity Sensor|[-0.7282864,4.3161206,8.775595]|1477918466996
1|Linear Acceleration Sensor|[-0.21026933,-0.0878315,-0.3573246]|1477918466996
1|YAS537 Magnetic Sensor|[9.0,-33.3,-27.4]|1477918466996
1|K6DS3TR Acceleration Sensor|[-0.9385557,4.228289,8.41827]|1477918466996
1|K6DS3TR Acceleration Sensor|[-0.90503585,4.2019525,8.5331955]|1477918467001
1|K6DS3TR Gyroscope Sensor|[-0.19303341,-0.043982297,-0.07819075]|1477918467001
1|K6DS3TR Gyroscope Sensor|[-0.18448131,-0.06352998,-0.080634214]|1477918467006
1|Gravity Sensor|[-0.7590774,4.323347,8.769427]|1477918467006
1|Linear Acceleration Sensor|[-0.10286152,-0.1381545,-0.1189127]|1477918467006
1|YAS537 Magnetic Sensor|[9.1,-33.3,-27.4]|1477918467006
1|K6DS3TR Acceleration Sensor|[-0.86193895,4.1851926,8.650515]|1477918467006
1|K6DS3TR Acceleration Sensor|[-0.8571504,4.2019525,8.688824]|1477918467011
1|K6DS3TR Gyroscope Sensor|[-0.18448131,-0.07574729,-0.087964594]|1477918467011
